,Compound,CI Interval
0,OSM-S-144,"(-5.922974930916007, 5.07654544251084)"
1,OSM-S-146,"(-110583.88411362236, 1177996.816023212)"
2,OSM-S-151,"(-118096.93179235118, 1709154.0694982293)"
3,OSM-S-152,"(-116190.04057059425, 1565711.8000812675)"
4,OSM-S-153,"(-114493.3240199216, 1444397.0461031185)"
5,OSM-S-154,"(79.48459552444719, 108.77768269569644)"
6,OSM-S-155,"(75.1227712097282, 102.76922248409664)"
7,OSM-S-156,"(85.61161492794236, 108.76186795669454)"
8,OSM-S-157,"(66.69276618276778, 86.79285750356838)"
9,OSM-S-158,"(-35.38756007068554, 96.6821361510826)"
10,OSM-S-159,"(47.44392271412977, 57.74842398882369)"
11,OSM-S-167,"(36.54603159642443, 47.505842624686764)"
12,OSM-S-168,"(45.907538696290835, 54.014435548308306)"
13,OSM-S-169,"(3.2717742538268357, 13.163435123794395)"
14,OSM-S-170,"(-12.911774414619353, 5.787308992779478)"
15,OSM-S-171,"(-32.497525395922324, -8.214759967463799)"
16,OSM-S-172,"(32.842008661206215, 40.20628005976409)"
17,OSM-S-173,"(81.094916104718, 111.16771502071948)"
18,OSM-S-174,"(27.757487065279946, 34.55778234238491)"
19,OSM-S-64,"(46.434734717555905, 53.06731680935007)"
20,OSM-S-66,"(76.89409080891136, 91.43191314234002)"
21,OSM-S-67,"(97.7049855557893, 114.99057417452286)"
22,OSM-S-69,"(36.509377355107866, 61.018113000145156)"
